Index,Field Name,Field Type,Fixture Key,Has Value,Status
248,"acknowledged by Seller and Buyers agreement to pay Seller",PDFTextField,seller_names,True,PASS
249,"will",PDFCheckBox,notes,True,PASS
250,"will not be credited to the Sales Price at closing Time is of the",PDFCheckBox,sales_price,True,PASS
251,"will 1.1",PDFCheckBox,notes,True,PASS
252,"will not be credited to the Sales Price at closing Time is of the 1",PDFCheckBox,sales_price,True,PASS
253,"acknowledged by Seller and Buyers agreement to pay Seller 1",PDFTextField,seller_names,True,PASS
254,"acknowledged by Seller and Buyers agreement to pay Seller2",PDFTextField,seller_names,True,PASS
255,"3",PDFTextField,notes,True,PASS
256,"2",PDFTextField,notes,True,PASS
257,"Other",PDFCheckBox,notes,True,PASS
258,"Addendum for Section 1031",PDFCheckBox,addendum_1031,True,PASS
259,"Seller and Buyer as an intermediary",PDFCheckBox,seller_names,True,PASS
260,"Seller only as Sellers agent",PDFCheckBox,seller_names,True,PASS
261,"Dollar Amt",PDFCheckBox,notes,True,PASS
262,"Percentage",PDFCheckBox,notes,True,PASS
